k,P[u<k],G(k)
0.19,0.5753454347347953,0.3111216037817325
0.20,0.5792597094391031,0.3068946358632764
0.21,0.5831661634824423,0.30270677190138723
0.22,0.5870644226482145,0.2985579318163978
0.23,0.5909541151420057,0.29444803179849743
0.24,0.5948348716977959,0.29037698433248504
0.25,0.5987063256829237,0.2863446982235802
0.26,0.6025681132017604,0.2823510786242739
0.27,0.6064198731980394,0.27839602706221367
0.28,0.6102612475557974,0.2744794414691017
0.29,0.6140918811988774,0.27060121621059846
0.30,0.6179114221889526,0.26676124211721
0.31,0.6217195218220192,0.2629594065161511
0.32,0.6255158347233202,0.259195593264164
0.33,0.6293000189406536,0.2554696827812803
0.34,0.6330717360360281,0.25178155208550357
0.35,0.636830651175619,0.24813107482840474
0.36,0.6405764332179914,0.24451812133160516
0.37,0.6443087548005468,0.24094255862413572
0.38,0.6480272924241628,0.23740425048064798
0.39,0.6517317265359823,0.23390305746046564
0.40,0.655421741610324,0.2304388369474532
0.41,0.6590970262276774,0.2270114431906838
0.42,0.6627572731517505,0.22362072734588911
0.43,0.6664021794045423,0.22026653751766676
0.44,0.6700314463394061,0.2169487188024312
0.45,0.67364477971208,0.2136671133320839
0.46,0.6772418897496523,0.2104215603183847
0.47,0.6808224912174441,0.20721189609799973
0.48,0.6843863034837773,0.20403795417821044
0.49,0.6879330505826096,0.2008995652832583
0.50,0.6914624612740131,0.19779655740130608
0.51,0.6949742691024805,0.194728755831991
0.52,0.6984682124530337,0.19169598323455223
0.53,0.7019440346051237,0.18869805967650707
0.54,0.705401483784302,0.18573480268285647
0.55,0.7088403132116536,0.1828060272857935
0.56,0.7122602811509728,0.17991154607489757
0.57,0.7156611509536759,0.1770511692477873
0.58,0.7190426911014357,0.17422470466121323
0.59,0.7224046752465351,0.17143195788256188
0.60,0.7257468822499263,0.16867273224175564
0.61,0.7290690962169943,0.16594682888351936
0.62,0.732371106531017,0.1632540468199953
0.63,0.7356527078843225,0.1605941829836777
0.64,0.7389137003071383,0.15796703228065084
0.65,0.742153889194135,0.15537238764410236
0.66,0.745373085328664,0.15281004008809065
0.67,0.7485711049046898,0.15027977876154378
0.68,0.7517477695464294,0.14778139100246496
